timestamp,consumption_kW,pv_kW,demand_kW,sBY,sSL,pv_used_kW,pv_surplus_kW,xFC1,xFD1,bF,price_yen_per_kWh,sBYMAX_horizon,status
2024-01-01 00:00:00.000,56.0,0.0,56.0,12.052408550045506,0.0,0.0,0.0,0.0,46.01066182939963,621.9946690853002,14.13,12.05240855004551,optimal
2024-01-01 00:30:00.000,22.0,0.0,22.0,12.16197161850487,0.0,0.0,0.0,0.0,10.496946911563128,616.7461956295186,14.13,12.16197161850487,optimal
2024-01-01 01:00:00.000,22.0,0.0,22.0,12.463942242884281,0.0,0.0,0.0,0.0,10.188813621380056,611.6517888188287,13.76,12.463942242884281,optimal
2024-01-01 01:30:00.000,52.0,0.0,52.0,12.848758217324999,0.0,0.0,0.0,0.0,41.03312884946012,591.1352243940986,13.76,12.848758217324997,optimal
2024-01-01 02:00:00.000,28.0,0.0,28.0,13.745684649450903,0.0,0.0,0.0,0.0,15.128310124467012,583.5710693318651,13.940000000000001,13.745684649450903,optimal
2024-01-01 02:30:00.000,108.0,0.0,108.0,14.672069974030748,0.0,0.0,0.0,0.0,97.4816445496146,534.8302470570578,13.940000000000001,14.672069974030745,optimal
2024-01-01 03:00:00.000,88.0,0.0,88.0,16.269682436427885,0.0,0.0,0.0,0.0,75.02677135808067,497.3168613780175,14.02,16.26968243642788,optimal
2024-01-01 03:30:00.000,74.0,0.0,74.0,16.87938652305695,0.0,0.0,0.0,0.0,59.82736485568949,467.4031789501728,14.02,16.879386523056947,optimal
2024-01-01 04:00:00.000,40.0,0.0,40.0,17.580165423502926,0.0,0.0,0.0,0.0,23.710368476642163,455.5479947118517,13.75,17.580165423502926,optimal
2024-01-01 04:30:00.000,54.0,0.0,54.0,18.434854019152617,0.0,0.0,0.0,0.0,37.415496731810116,436.84024634594664,13.75,18.434854019152617,optimal
2024-01-01 05:00:00.000,42.0,0.0,42.0,18.905167698254413,0.0,0.0,0.0,0.0,24.4407909784576,424.61985085671785,14.030000000000001,18.905167698254413,optimal
2024-01-01 05:30:00.000,46.0,0.0,46.0,19.591637884614226,0.0,0.0,0.0,0.0,27.90524247509169,410.667229619172,14.030000000000001,19.591637884614226,optimal
2024-01-01 06:00:00.000,30.0,0.0,30.0,20.350443556994414,0.0,0.0,0.0,0.0,10.471225858127315,405.43161669010834,14.33,20.350443556994414,optimal
2024-01-01 06:30:00.000,38.0,0.0,38.0,20.408163265306122,0.0,0.0,0.0,0.0,18.742190753852565,396.06052131318205,14.33,20.408163265306122,optimal
2024-01-01 07:00:00.000,86.0,2.0,86.0,21.48477008138957,0.0,2.0,0.0,0.0,65.58197138717016,363.269535619597,14.9,21.484770081389566,optimal
2024-01-01 07:30:00.000,76.0,26.0,76.0,22.131043419376848,0.0,26.000000000000004,0.0,0.0,30.02038468243512,348.25934327837945,14.9,22.131043419376848,optimal
2024-01-01 08:00:00.000,60.0,70.0,60.0,22.514168443039537,0.0,70.0,0.0,31.28967864712117,0.0,363.59128581546884,14.92,22.514168443039537,optimal
2024-01-01 08:30:00.000,60.0,80.0,60.0,22.448979591836736,0.0,80.00000000000001,0.0,41.22448979591837,0.0,383.7912858154688,14.92,22.448979591836736,optimal
2024-01-01 09:00:00.000,52.0,106.0,52.0,22.448979591836736,0.0,106.00000000000001,0.0,75.38775510204081,0.0,420.7312858154688,15.07,22.448979591836736,optimal
2024-01-01 09:30:00.000,20.0,114.0,20.0,22.448979591836736,0.0,114.00000000000001,0.0,116.04081632653062,0.0,477.59128581546884,15.07,22.448979591836736,optimal
2024-01-01 10:00:00.000,36.0,126.0,36.0,0.0,0.0,126.0,0.0,89.26530612244898,0.0,521.3312858154688,15.64,22.448979591836736,optimal
2024-01-01 10:30:00.000,20.0,132.0,20.0,0.0,0.0,132.0,0.0,111.59183673469389,0.0,576.0112858154688,15.64,22.448979591836736,optimal
2024-01-01 11:00:00.000,68.0,136.0,68.0,0.0,0.0,136.0,0.0,66.61224489795919,0.0,608.6512858154688,15.65,22.448979591836736,optimal
2024-01-01 11:30:00.000,66.0,136.0,66.0,0.0,0.0,136.0,0.0,68.65306122448979,0.0,642.2912858154688,15.65,22.448979591836736,optimal
2024-01-01 12:00:00.000,58.0,130.0,58.0,0.0,0.0,130.0,0.0,70.81632653061224,0.0,676.9912858154688,15.59,22.448979591836736,optimal
2024-01-01 12:30:00.000,62.0,124.0,62.0,0.0,0.0,124.0,0.0,60.73469387755102,0.0,706.7512858154688,15.59,22.448979591836736,optimal
2024-01-01 13:00:00.000,90.0,108.0,90.0,5.112939979991179,0.0,108.0,0.0,21.27620528611362,0.0,717.1766264056645,15.5,22.448979591836736,optimal
2024-01-01 13:30:00.000,62.0,98.0,62.0,0.0,0.0,98.0,0.0,34.73469387755102,0.0,734.1966264056645,15.5,22.44897959183672,optimal
2024-01-01 14:00:00.000,70.0,78.0,70.0,22.44897959183673,0.0,78.0,0.0,29.020408163265298,0.0,748.4166264056645,15.4,22.44897959183673,optimal
2024-01-01 14:30:00.000,26.0,64.0,26.0,22.448979591836732,0.0,64.0,0.0,59.91836734693877,0.0,777.7766264056645,15.4,22.448979591836732,optimal
2024-01-01 15:00:00.000,40.0,40.0,40.0,22.44897959183673,0.0,40.0,0.0,21.632653061224485,0.0,788.3766264056645,15.27,22.44897959183673,optimal
2024-01-01 15:30:00.000,78.0,20.0,78.0,22.448979591836732,0.0,20.0,0.0,0.0,37.90087463556853,769.4261890878803,15.27,22.448979591836732,optimal
2024-01-01 16:00:00.000,42.0,0.0,42.0,22.448979591836732,0.0,0.0,0.0,0.0,20.82465639316952,759.0138608912955,15.14,22.448979591836732,optimal
2024-01-01 16:30:00.000,72.0,0.0,72.0,22.448979591836732,0.0,0.0,0.0,0.0,52.06164098292379,732.9830403998336,15.14,22.44897959183673,optimal
2024-01-01 17:00:00.000,60.0,0.0,60.0,22.448979591836732,0.0,0.0,0.0,0.0,39.566847147022074,713.1996168263225,15.26,22.448979591836732,optimal
2024-01-01 17:30:00.000,78.0,0.0,78.0,22.44897959183674,0.0,0.0,0.0,0.0,58.30903790087464,684.0450978758852,15.26,22.44897959183674,optimal
2024-01-01 18:00:00.000,50.0,0.0,50.0,22.44897959183674,0.0,0.0,0.0,0.0,29.154518950437318,669.4678384006666,15.16,22.44897959183674,optimal
2024-01-01 18:30:00.000,38.0,0.0,38.0,22.44897959183674,0.0,0.0,0.0,0.0,16.659725114535608,661.1379758433987,15.16,22.44897959183674,optimal
2024-01-01 19:00:00.000,28.0,0.0,28.0,22.448979591836736,0.0,0.0,0.0,0.0,6.247396917950854,658.0142773844233,14.940000000000001,22.448979591836736,optimal
2024-01-01 19:30:00.000,28.0,0.0,28.0,22.44897959183674,0.0,0.0,0.0,0.0,6.247396917950851,654.8905789254478,14.940000000000001,22.44897959183674,optimal
2024-01-01 20:00:00.000,72.0,0.0,72.0,22.44897959183674,0.0,0.0,0.0,0.0,52.061640982923784,628.8597584339859,14.98,22.44897959183674,optimal
2024-01-01 20:30:00.000,48.0,0.0,48.0,22.448979591836736,0.0,0.0,0.0,0.0,27.07205331112037,615.3237317784258,14.98,22.448979591836736,optimal
2024-01-01 21:00:00.000,56.0,0.0,56.0,21.749025043430784,0.0,0.0,0.0,0.0,36.11615520349629,597.2656541766777,14.72,21.749025043430787,optimal
