month,消費電力量,PV発電量,PV使用量,PV抑制量,買電量,平均SOC,最大買電電力
1,40195.0,20860.0,20860.0,-0.0,20559.81,371.03,39.89187770325418
2,36671.0,25254.0,25254.0,-0.0,13123.04,386.26,30.995049155311857
3,49038.0,32398.0,32398.0,-0.0,17858.75,395.47,64.70774732924109
4,54890.0,26646.0,26646.0,-0.0,30178.13,406.83,84.8167987572839
5,66616.0,27079.0,27079.0,-0.0,41286.0,433.44,126.53061224489797
6,77588.0,24833.0,24833.0,-0.0,54797.54,373.59,134.5075962009335
7,111215.0,25616.0,25616.0,-0.0,88596.1,411.73,197.29480850323185
8,118228.0,18807.0,18807.0,-0.0,102135.37,411.93,221.55742848282543
9,90874.0,24871.0,24871.0,-0.0,68546.29,400.7,181.6326530612245
10,72491.0,22019.0,22019.0,-0.0,52378.64,393.72,164.51091426540384
11,49925.0,19486.0,19486.0,0.0,31882.71,348.2,80.4158961218178
12,45251.0,19764.0,19764.0,-0.0,26714.89,358.4,52.24613871179842
