month,消費電力量,PV発電量,PV使用量,PV抑制量,買電量,平均SOC,最大買電電力
1,40195.0,20860.0,20860.0,-0.0,20557.88,382.08,39.80563210769721
2,36671.0,25254.0,25254.0,-0.0,13114.13,399.11,30.995049155311847
3,49038.0,32398.0,32398.0,-0.0,17960.6,404.1,60.96033770023477
4,54890.0,26646.0,26646.0,0.0,30058.54,442.84,75.58622462953957
5,66616.0,27079.0,27079.0,-0.0,41462.35,458.29,114.8984719515947
6,77588.0,24833.0,24833.0,-0.0,54614.98,406.79,127.1268975556422
7,111215.0,25616.0,25616.0,-0.0,88449.97,422.72,197.29480850323185
8,118228.0,18807.0,18807.0,-0.0,102285.45,381.18,216.9781691660792
9,90874.0,24871.0,24871.0,0.0,68362.65,393.23,193.4775067555217
10,72491.0,22019.0,22019.0,-0.0,52496.13,395.88,164.51091426540378
11,49925.0,19486.0,19486.0,0.0,31928.12,333.6,71.29134205510672
12,45251.0,19764.0,19764.0,-0.0,26722.88,365.87,49.67699070191326
