month,消費電力量,PV発電量,PV使用量,PV抑制量,買電量,平均SOC,最大買電電力
1,40195.0,20860.0,18121.92,2738.08,23228.71,116.44,53.02153555886428
2,36671.0,25254.0,19294.19,5959.81,18484.39,112.07,49.59459885401081
3,49038.0,32398.0,26092.09,6305.91,24187.63,105.97,66.483441739298
4,54890.0,26646.0,23678.33,2967.67,32780.56,104.3,109.52187998692284
5,66616.0,27079.0,26109.47,969.53,42213.27,98.89,112.46176047816658
6,77588.0,24833.0,24630.52,202.48,54884.24,106.39,162.07326735308607
7,111215.0,25616.0,25616.0,-0.0,88283.86,111.02,190.32957007185135
8,118228.0,18807.0,18807.0,0.0,102146.49,100.85,202.54298590235848
9,90874.0,24871.0,24871.0,-0.0,68188.86,100.01,179.12953946228907
10,72491.0,22019.0,21495.51,523.49,52965.05,93.6,158.40172533814754
11,49925.0,19486.0,18475.57,1010.43,32767.55,105.27,81.29373011054699
12,45251.0,19764.0,18660.8,1103.2,27744.79,107.91,62.54446873940253
