month,消費電力量,PV発電量,PV使用量,PV抑制量,買電量,平均SOC,最大買電電力
1,40195.0,20860.0,20860.0,-0.0,20366.34,371.72,42.11989859653257
2,36671.0,25254.0,25254.0,-0.0,13166.27,401.11,30.84116844843678
3,49038.0,32398.0,32398.0,-0.0,17780.79,421.52,81.24828446528453
4,54890.0,26646.0,26646.0,-0.0,30182.5,439.2,91.8961082125977
5,66616.0,27079.0,27079.0,-0.0,41523.62,462.64,166.06734693877556
6,77588.0,24833.0,24833.0,-0.0,54645.46,435.78,120.34041289383735
7,111215.0,25616.0,25616.0,0.0,88556.21,510.33,223.61670789098645
8,118228.0,18807.0,18807.0,-0.0,102211.79,454.37,226.95287925941656
9,90874.0,24871.0,24871.0,-0.0,68582.91,462.27,204.32470556956207
10,72491.0,22019.0,22019.0,-0.0,52368.21,442.79,164.51091426540384
11,49925.0,19486.0,19486.0,-0.0,31869.86,297.81,83.13344778113905
12,45251.0,19764.0,19764.0,0.0,26721.91,317.39,53.580015216847166
