month,消費電力量,PV発電量,PV使用量,PV抑制量,買電量,平均SOC,最大買電電力
1,40195.0,20860.0,20792.94,67.06,20674.43,234.09,48.203641850188106
2,36671.0,25254.0,23333.19,1920.81,14620.05,220.4,41.35881612260291
3,49038.0,32398.0,30484.71,1913.29,19834.92,210.01,68.79306347478942
4,54890.0,26646.0,26126.33,519.67,30510.34,215.86,94.78370778631536
5,66616.0,27079.0,26922.08,156.92,41431.27,207.47,119.78599763104096
6,77588.0,24833.0,24833.0,0.0,54877.86,211.91,147.81572679143193
7,111215.0,25616.0,25616.0,0.0,88337.93,210.05,194.723008714544
8,118228.0,18807.0,18807.0,-0.0,102170.03,203.13,205.72560154295223
9,90874.0,24871.0,24871.0,-0.0,68275.74,190.36,171.30543922237746
10,72491.0,22019.0,22019.0,-0.0,52530.29,193.75,165.6538648922128
11,49925.0,19486.0,19486.0,-0.0,31854.82,204.77,83.43225272245341
12,45251.0,19764.0,19764.0,0.0,26684.05,215.96,59.2884127588567
