month,消費電力量,PV発電量,PV使用量,PV抑制量,買電量,平均SOC,最大買電電力
1,40195.0,20860.0,20860.0,-0.0,20174.41,403.76,41.4445739915152
2,36671.0,25254.0,25254.0,-0.0,13166.27,422.61,30.84116844843678
3,49038.0,32398.0,32398.0,0.0,17780.63,443.78,81.24828446528453
4,54890.0,26646.0,26646.0,-0.0,30182.52,460.56,91.8961082125977
5,66616.0,27079.0,27079.0,0.0,41523.98,483.59,173.58524806840686
6,77588.0,24833.0,24833.0,-0.0,54651.11,463.71,117.44363416518952
7,111215.0,25616.0,25616.0,-0.0,88556.58,572.11,232.9387755102041
8,118228.0,18807.0,18807.0,-0.0,102218.18,493.34,226.95287925941656
9,90874.0,24871.0,24871.0,-0.0,68588.17,525.11,204.32470556956216
10,72491.0,22019.0,22019.0,-0.0,52381.56,479.1,164.51091426540384
11,49925.0,19486.0,19486.0,-0.0,31869.51,318.97,83.13344778113904
12,45251.0,19764.0,19764.0,0.0,26721.91,338.89,53.580015216847166
