month,消費電力量,PV発電量,PV使用量,PV抑制量,買電量,平均SOC,最大買電電力
1,40195.0,20860.0,20860.0,0.0,19736.28,340.04,41.47573985587821
2,36671.0,25254.0,25254.0,-0.0,12346.68,368.14,29.793377891593817
3,49038.0,32398.0,32398.0,0.0,16810.41,381.2,77.40681562640025
4,54890.0,26646.0,26646.0,-0.0,28971.83,393.23,88.47459924175824
5,66616.0,27079.0,27079.0,0.0,39944.66,403.93,142.64275301957514
6,77588.0,24833.0,24833.0,-0.0,53336.97,356.69,125.97159109773244
7,111215.0,25616.0,25616.0,0.0,86203.63,395.6,200.3101088832034
8,118228.0,18807.0,18807.0,0.0,99788.5,359.96,218.0548283526797
9,90874.0,24871.0,24871.0,-0.0,66711.31,357.82,193.36809472143833
10,72491.0,22019.0,22019.0,-0.0,50867.96,363.14,160.24293476441778
11,49925.0,19486.0,19486.0,0.0,30843.21,274.67,81.13038778543441
12,45251.0,19764.0,19764.0,-0.0,25796.28,295.22,52.04697289416407
