month,消費電力量,PV発電量,PV使用量,PV抑制量,買電量,平均SOC,最大買電電力
1,40195.0,20860.0,20860.0,-0.0,20662.09,284.94,45.7443034316911
2,36671.0,25254.0,24518.04,735.96,13537.67,275.23,38.68844815622323
3,49038.0,32398.0,31709.32,688.68,18681.85,264.75,76.03080437564557
4,54890.0,26646.0,26517.04,128.96,30099.4,273.18,89.16714206596738
5,66616.0,27079.0,27079.0,0.0,41284.57,264.06,128.9227815456624
6,77588.0,24833.0,24833.0,-0.0,54929.35,258.45,140.7109263578788
7,111215.0,25616.0,25616.0,0.0,88410.3,260.21,200.42708740485347
8,118228.0,18807.0,18807.0,0.0,102160.33,247.21,214.74674308718477
9,90874.0,24871.0,24871.0,-0.0,68284.57,233.67,176.2647748409228
10,72491.0,22019.0,22019.0,0.0,52558.34,239.85,164.51091426540384
11,49925.0,19486.0,19486.0,0.0,31856.65,234.74,83.13344778113904
12,45251.0,19764.0,19764.0,-0.0,26711.18,259.26,54.99616033282894
