month,消費電力量,PV発電量,PV使用量,PV抑制量,買電量,平均SOC,最大買電電力
1,40195.0,20860.0,20860.0,0.0,20650.54,319.03,43.98167472231292
2,36671.0,25254.0,25147.64,106.36,13018.45,322.61,36.14802984053212
3,49038.0,32398.0,32131.12,266.88,18220.43,311.82,81.24828446528453
4,54890.0,26646.0,26615.76,30.24,30040.73,319.88,93.56228933644124
5,66616.0,27079.0,27079.0,0.0,41277.19,317.48,137.6655615667404
6,77588.0,24833.0,24833.0,-0.0,54948.76,297.2,134.91652594688273
7,111215.0,25616.0,25616.0,0.0,88457.58,303.65,205.4920497134467
8,118228.0,18807.0,18807.0,-0.0,102170.94,284.49,216.36734693877543
9,90874.0,24871.0,24871.0,-0.0,68411.61,276.29,185.60760037509053
10,72491.0,22019.0,22019.0,-0.0,52463.34,285.72,164.51091426540384
11,49925.0,19486.0,19486.0,-0.0,31863.83,254.09,83.13344778113904
12,45251.0,19764.0,19764.0,-0.0,26720.1,280.61,53.48069455855188
